Date,OFI,MACD,RSI,LSTM,RSI_MACD,LSTM_RSI,LSTM_OFI,LSTM_MACD,LSTM_STEP,XGBoost ,,,,
16-06-2025,20.90268068,28.74817903,47.48515795,60.74268533,53.9436043,71.00571628,66.54661966,60.24832256,60.4748616,65.31,,,,
17-06-2025,21.06583108,27.71467174,45.15633538,61.37145999,53.2906882,74.91705269,68.87213821,60.21603826,60.94847156,72.67,,,,
18-06-2025,21.65204793,28.17740842,39.73221104,60.63960803,54.58443538,74.01048902,70.36685412,60.08681233,56.48523235,71.81,,,,
19-06-2025,22.91794406,28.9106387,38.32065522,62.66022557,54.9332091,58.51255079,71.95416516,70.5182434,60.12372656,60.01,,,,
20-06-2025,20.80701727,29.44837744,49.72033251,64.72596742,54.51682472,90.92884528,73.71092771,73.23278511,59.18713555,68.02,,,,
23-06-2025,21.86695349,31.37108746,49.52860877,63.89289119,57.74494654,76.24320718,76.53690698,69.57889439,54.55010411,53.22,,,,
24-06-2025,22.53053933,29.07873886,45.76788302,61.20833812,53.68488535,83.13329513,68.9216494,57.69899565,60.77477715,44.53,,,,
25-06-2025,23.29183758,29.89793729,42.27713608,62.93592015,56.93220539,64.82913268,76.98347394,62.76574429,58.12943113,66.24,,,,
26-06-2025,20.98058017,29.95627365,45.57156568,61.52870012,56.68223807,92.72691154,72.94353754,70.00571624,59.22882889,73.11,,,,
27-06-2025,20.62357052,27.69627646,44.70352403,61.58988291,56.3115901,73.16637924,75.54545708,69.34189999,56.74173476,69.61,,,,
30-06-2025,21.15133198,28.71485231,39.18856706,60.41455701,53.54876085,68.1785785,69.03234975,54.77773368,57.48796629,63.16,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
